session_key,subject,condition,trial,window_index,time_minutes,theta_power,alpha_power,beta_power,gamma_power,theta_alpha,beta_alpha,alpha_beta,beta_theta,dominant_frequency,dominant_band
b_relaxed_1,b,relaxed,1,13,0.5416666666666666,10.934140767893126,19.280847409562142,9.064487139049632,3.2760641228624885,0.5670985582547813,0.47012908439668427,2.1270753782087275,0.8290077228259652,11.0,alpha
b_relaxed_1,b,relaxed,1,14,0.5833333333333334,10.011188878178206,22.041644089857822,9.246637701549579,3.2953782298863623,0.45419428956230745,0.4195076222015716,2.3837469144231767,0.9236303314289525,11.0,alpha
b_relaxed_1,b,relaxed,1,15,0.625,12.68801220746689,13.037320663144017,8.433484408089198,3.1761393544087206,0.9732070365758044,0.6468725151426489,1.545899658110345,0.664681296817014,1.0,other
b_relaxed_1,b,relaxed,1,16,0.6666666666666666,9.364235133300783,9.233977403873803,7.985250524803531,3.119296689638735,1.014106351329421,0.8647682548425545,1.1563791737267999,0.8527392158711017,1.0,other
b_relaxed_1,b,relaxed,1,17,0.7083333333333334,10.59019894271816,16.681360416396643,8.515409697409272,2.990236223183719,0.6348522349717182,0.5104745347411356,1.9589615777937004,0.804084016123652,1.0,other
b_relaxed_1,b,relaxed,1,18,0.75,14.30639115784175,22.304898289421516,10.142494976311808,2.283143465458421,0.6414013178722632,0.4547205212373491,2.1991530034291835,0.708948529675313,1.0,other
b_relaxed_1,b,relaxed,1,19,0.7916666666666666,8.612614951571345,18.947709714326802,9.67226560591784,2.417286429973043,0.45454649038976713,0.5104714897866741,1.958973262968907,1.1230347182946063,1.0,other
b_relaxed_1,b,relaxed,1,20,0.8333333333333334,9.18043634619835,23.175139351937663,9.802958314781502,2.4810987156288835,0.39613295121052977,0.42299457905791976,2.3640964908514164,1.0678096274629627,1.0,other
b_relaxed_1,b,relaxed,1,21,0.875,13.04329656884153,20.895364022232826,8.796877961855184,2.4251544705849803,0.6242196381438181,0.42099663602391607,2.375315891937891,0.6744367051248071,1.5,other
b_relaxed_2,b,relaxed,2,0,0.0,13.877732480338134,9.804231944775958,9.103722643652942,3.6671412873226488,1.4154839010854574,0.9285503132658676,1.0769475662366985,0.6559949657878927,1.0,other
b_relaxed_2,b,relaxed,2,1,0.041666666666666664,14.970475123724565,19.338717666080694,10.025754036604205,4.092556189628557,0.7741193279832693,0.5184291021627023,1.9289040600312648,0.6697017932794812,1.5,other
b_relaxed_2,b,relaxed,2,2,0.08333333333333333,19.960685398837256,24.423202457004486,13.623188532685162,3.9659294193298833,0.8172837052788957,0.5577969783720186,1.7927669721671697,0.6825010394421995,1.5,other
b_relaxed_2,b,relaxed,2,3,0.125,28.10978238255581,13.971912717709847,13.823816944170126,4.577305630743064,2.011877897499729,0.9894004653098065,1.0107130884427817,0.49177957893935254,1.0,other
b_relaxed_2,b,relaxed,2,4,0.16666666666666666,17.885962926852052,10.262839220701235,9.742925195086054,3.707168855950436,1.7427889633868734,0.9493401373212143,1.0533632369339554,0.5447246667641852,1.0,other
b_relaxed_2,b,relaxed,2,5,0.20833333333333334,14.383460727927032,10.437798832014561,9.999924697834063,2.900724262905681,1.3780166641850227,0.9580491882218057,1.04378774314924,0.6952377377732284,1.0,other
b_relaxed_2,b,relaxed,2,6,0.25,15.716401222363164,9.172528714235105,11.015362560012107,3.5877138178406653,1.7134207710870875,1.2009079396957414,0.8327032963520561,0.7008832622787805,1.0,other
b_relaxed_2,b,relaxed,2,7,0.2916666666666667,15.705938998990025,8.597142764106648,11.139541915511291,3.341429911648328,1.826878932912785,1.2957260593623317,0.7717680699361191,0.709256665025098,1.0,other
b_relaxed_2,b,relaxed,2,8,0.3333333333333333,21.245605566253012,9.11280349062918,12.868299077842446,4.199057560761272,2.3314017018034194,1.4121119906815827,0.708159130861378,0.6056922707010401,1.0,other
b_relaxed_2,b,relaxed,2,9,0.375,21.99692427463327,10.917504224227184,12.348973149221107,3.832893317780503,2.0148308462129645,1.1311168647700023,0.8840819469200796,0.5613954476109133,1.5,other
b_relaxed_2,b,relaxed,2,10,0.4166666666666667,18.101653845926073,8.56398168245071,11.090517735501376,3.5900124755159073,2.1136960022952804,1.295018852997787,0.7721895304343565,0.6126798042819379,1.5,other
b_relaxed_2,b,relaxed,2,11,0.4583333333333333,18.116618170151074,8.708223850610391,10.382449960737315,3.104661361849083,2.0804033613446,1.1922580469735595,0.8387446010856547,0.573089848404678,2.5,other
b_relaxed_2,b,relaxed,2,12,0.5,7.974309095916283,7.1003497497136046,10.287409985396659,3.5151090277200967,1.123086802342086,1.448859612276368,0.6901979953936707,1.290069128454644,1.0,other
b_relaxed_2,b,relaxed,2,13,0.5416666666666666,17.842354705265734,7.37670640255961,10.04749183430329,3.4483650580310927,2.418742692412795,1.362056626086807,0.7341838664028258,0.5631258878256702,2.0,other
b_relaxed_2,b,relaxed,2,14,0.5833333333333334,24.180456654242597,9.773745027204818,10.7467070243613,4.063401615859135,2.4740216352009683,1.099548534819384,0.9094641740068924,0.4444377200161656,1.0,other
c_concentrating_1,c,concentrating,1,0,0.0,72.7950668910033,31.524699828826492,68.5376735971857,25.372720183307614,2.3091438550174166,2.1740944075386306,0.4599616265662242,0.9415153598224969,1.5,other
