session_key,subject,condition,trial,window_index,time_point,theta_power,alpha_power,beta_power,gamma_power,theta_alpha,beta_alpha,alpha_beta,beta_theta,dominant_frequency,dominant_band
b_relaxed_2,b,relaxed,2,3,3.0,12.34016824432965,9.555684685209684,10.716293761295027,4.199954899243823,1.291395504440388,1.12145744803423,0.8916967841739075,0.8684074276069292,2.0,other
b_relaxed_2,b,relaxed,2,4,4.0,19.985267065085775,8.55953729796171,10.81617798419815,3.778770103523935,2.334853668999712,1.2636404992094394,0.7913643165327651,0.5412075780110036,4.0,theta
b_relaxed_2,b,relaxed,2,5,5.0,36.39677044946319,9.528030992289795,10.214347314258768,2.719778242154472,3.819967680511947,1.0720312856375416,0.9328085974704514,0.2806388365814313,4.0,theta
c_concentrating_1,c,concentrating,1,0,0.0,48.78823384867181,18.315579083343753,47.624316207383835,24.033127820670828,2.6637560093876576,2.600208051881556,0.38458461017239853,0.9761434766239308,2.0,other
c_concentrating_1,c,concentrating,1,1,1.0,34.24801718397493,17.040034279282605,42.38552886104193,23.688739307010703,2.009856120161326,2.4874086616465645,0.4020248121746268,1.2376053373646003,1.0,other
c_concentrating_1,c,concentrating,1,2,2.0,29.353251845322355,15.15792490780478,45.87414386976209,23.261522331905056,1.9364953991959963,3.0264131897197615,0.3304241480961156,1.5628300438907743,1.0,other
c_concentrating_1,c,concentrating,1,3,3.0,111.59045206811156,28.009462744921862,44.31214179046595,28.056189280786747,3.9840268656471465,1.5820418332907789,0.6320945369187342,0.39709617596511854,1.0,other
c_concentrating_1,c,concentrating,1,4,4.0,451.8006688220684,149.39863707822718,368.3285657788687,179.57103011884996,3.0241284502849872,2.4654078041288074,0.4056124095678226,0.8152457293593044,1.0,other
c_concentrating_1,c,concentrating,1,5,5.0,504.2514872942321,190.3125294441576,463.1444577559862,298.8900578329432,2.6495968960477296,2.4335994015143614,0.410913973506785,0.9184791109713478,1.0,other
c_concentrating_2,c,concentrating,2,0,0.0,18.955277952865934,8.474308210789482,41.61639253406686,19.819999267341576,2.236793550738701,4.9108896559935005,0.20362909168190102,2.1955042093051813,2.0,other
c_concentrating_2,c,concentrating,2,1,1.0,10.191093590048755,5.456233930247005,37.193128861669486,18.190353726548736,1.867788976853381,6.816630176995682,0.14670005179021367,3.649571906393566,1.0,other
c_concentrating_2,c,concentrating,2,2,2.0,9.997405401410028,7.803928591513722,43.279581205085535,21.696048587009223,1.2810734086267233,5.545870992739392,0.18031432777812387,4.329081343343485,1.0,other
c_concentrating_2,c,concentrating,2,3,3.0,36.730217338781785,13.776861101354141,43.78737416949988,19.83122353013571,2.6660802535906774,3.178327330686086,0.3146309036030396,1.1921349053185906,1.0,other
c_concentrating_2,c,concentrating,2,4,4.0,61.096051653727635,17.35328493046359,39.653218535099604,21.924710458269832,3.5207196734535184,2.285055463215994,0.43762613910149784,0.6490307877805431,2.0,other
c_concentrating_2,c,concentrating,2,5,5.0,47.234287826696445,14.572138064882118,40.34767847719184,27.406412314773803,3.2414109457642275,2.768823510835864,0.36116422591995245,0.8542031717558289,2.0,other
c_neutral_1,c,neutral,1,0,0.0,117.41101512265425,28.464100307487925,22.75997992675837,5.197824849156043,4.124880598870271,0.7996029974912294,1.2506206244067621,0.19384876200058399,2.0,other
c_neutral_1,c,neutral,1,1,1.0,50.23822751338608,12.837012627950802,13.807288116481192,4.213392118231474,3.913545072316853,1.0755842123593267,0.9297272947196479,0.27483629100573287,1.0,other
c_neutral_1,c,neutral,1,2,2.0,42.43335945928553,13.07347191771981,15.472322682274806,4.421994575353818,3.2457605543766284,1.1834899542870159,0.8449585874199008,0.3646263901664532,1.0,other
c_neutral_1,c,neutral,1,3,3.0,10.062985650252754,12.086435627857512,15.801478710830864,4.782766293056831,0.8325850532028654,1.3073729259278648,0.7648926944775785,1.570257502099685,1.0,other
c_neutral_1,c,neutral,1,4,4.0,36.46111256595235,18.098075678076736,13.78588201640646,5.635595057206024,2.0146402973726008,0.7617319245220148,1.3127978069548523,0.37809822702118573,2.0,other
c_neutral_1,c,neutral,1,5,5.0,12.95834646027779,11.812868231019612,13.139427029515275,5.972949474162986,1.0969686791434994,1.1122977732886439,0.8990398290948459,1.0139740490650226,1.0,other
c_relaxed_1,c,relaxed,1,0,0.0,8.834841406034073,4.47674763935602,8.387459816730745,3.298111676535735,1.9734955190158907,1.873561007324791,0.5337429611795103,0.9493616728651436,1.0,other
c_relaxed_1,c,relaxed,1,1,1.0,8.602160226750579,3.916828843840777,6.971809059224898,3.3040889506067543,2.1962052899700986,1.7799626527434522,0.5618095404747411,0.8104718902519749,2.0,other
c_relaxed_1,c,relaxed,1,2,2.0,11.111175019454556,4.788025342284316,7.794160981897208,2.5512285014325364,2.3206174205739547,1.6278445548449618,0.6143092699015364,0.7014704536874283,4.0,theta
c_relaxed_1,c,relaxed,1,3,3.0,10.479612469066424,5.255958287122084,7.381609309372831,2.651629090920541,1.9938538124899328,1.4044269201030235,0.7120342010580684,0.7043780799301276,2.0,other
c_relaxed_1,c,relaxed,1,4,4.0,23.44697760294635,7.515144404492987,10.605243023653571,3.06557358048815,3.119963681460119,1.4111828666010922,0.7086253834760284,0.4523074659448182,1.0,other
c_relaxed_1,c,relaxed,1,5,5.0,28.180365009715718,9.780299114549152,12.30948562702144,3.314283134314609,2.881339791315244,1.258600118754024,0.7945335338041837,0.4368107234515064,1.0,other
c_relaxed_2,c,relaxed,2,0,0.0,6.232289073865996,7.340695326552434,6.907234738899323,3.642712694401169,0.8490052776503119,0.940951017802739,1.062754576040684,1.1082981962219296,1.0,other
c_relaxed_2,c,relaxed,2,1,1.0,5.861471527204076,8.95156729301901,7.044692613781877,2.872185805386464,0.6547983537782502,0.7869786801776899,1.2706824532707959,1.2018641703002861,2.0,other
c_relaxed_2,c,relaxed,2,2,2.0,7.009061292783454,5.222782621347047,6.310695725335707,2.4740961158746555,1.3420166606466373,1.2083014329453496,0.8276080560149671,0.9003624682000162,2.0,other
c_relaxed_2,c,relaxed,2,3,3.0,9.634135206433825,4.890216288562738,8.353401961249261,4.0154646370137055,1.9700836605051986,1.708186605321781,0.5854161347973011,0.8670629778654891,2.0,other
c_relaxed_2,c,relaxed,2,4,4.0,6.062529219458304,3.6128419689359035,7.196809573938261,3.531517226877809,1.6780499317671265,1.992007853047043,0.5020060530737195,1.1870968886779745,1.0,other
c_relaxed_2,c,relaxed,2,5,5.0,5.558086425040175,4.364872369498269,5.813834581501341,3.96016217478247,1.2733674560292039,1.3319598121879623,0.7507734023576402,1.0460137063196742,3.0,other
d_concentrating_1,d,concentrating,1,0,0.0,148.35197979909094,19.756035660479274,284.8982744514903,175.66894808284164,7.509197814208237,14.420822038776315,0.06934417450760355,1.920421114954585,1.0,other
d_concentrating_1,d,concentrating,1,1,1.0,110.10785351255058,21.987705065685304,333.7851138683457,209.55851129402933,5.007701039449921,15.180534433730474,0.06587383364962728,3.0314378422634443,3.0,other
